,out_dim,inner_dim,eager,fuser,ratio of memory throughput (higher is better)
311,48,14,83.7333,161.623,1.930211755657546
310,48,14,77.1165,136.899,1.7752232012604305
319,56,14,105.545,172.717,1.6364299587853524
59,24,14,42.0134,150.729,3.5876410859392487
74,56,14,61.6612,86.4461,1.4019529298813516
61,40,14,30.1276,54.2973,1.8022444535907274
94,184,14,268.489,648.524,2.4154583614226284
93,184,14,235.171,510.323,2.170008206794205
92,184,14,189.116,345.732,1.8281478034645402
91,184,14,133.889,225.506,1.6842757806839994
90,184,14,82.7851,131.457,1.5879306783467073
89,152,14,240.23,624.01,2.5975523456687344
88,152,14,222.581,539.474,2.423719904214646
87,152,14,195.032,422.508,2.1663521883588333
86,152,14,156.331,284.815,1.8218715417927347
95,184,14,288.795,748.955,2.593379386762236
60,40,14,18.5446,31.5053,1.6988934784249863
83,72,14,122.911,124.74,1.0148806860248472
82,72,14,113.53,152.312,1.3416013388531667
81,72,14,98.4435,146.625,1.4894330250346646
80,72,14,78.4556,94.3859,1.203048603286445
79,72,14,53.8213,54.3261,1.0093791863072799
78,72,14,33.0929,28.5086,0.861471796065017
77,56,14,97.3055,123.804,1.2723227361248852
76,56,14,89.824,143.988,1.6030014250089064
75,56,14,77.6773,131.111,1.6878933742547693
84,152,14,68.4394,108.278,1.5821003690856437
96,200,14,89.5512,142.095,1.5867459062525127
85,152,14,110.581,186.92,1.6903446342500066
98,200,14,204.347,376.847,1.8441523487009839
97,200,14,143.974,243.34,1.6901662800227821
62,40,14,44.3306,82.9494,1.8711544621548095
63,40,14,55.3891,119.844,2.16367480244308
64,40,14,64.0973,154.733,2.414033040393277
65,40,14,69.6113,183.75,2.639657641790916
67,48,14,36.3882,40.5866,1.1153780621190386
68,48,14,52.8886,76.1212,1.4392742481366496
69,48,14,66.5097,120.996,1.8192233614044269
70,48,14,76.9603,138.046,1.793730014046203
71,48,14,83.535,160.404,1.9202011133058
66,48,14,22.2659,20.9273,0.9398811635729973
107,368,14,518.985,1050.3,2.0237579120783837
106,368,14,482.348,950.278,1.9701087181868693
105,368,14,425.884,790.732,1.8566839796752166
104,368,14,345.891,603.745,1.7454776215628622
103,368,14,251.654,400.778,1.5925755203573162
102,368,14,157.656,242.214,1.5363449535697975
101,200,14,311.032,786.666,2.5292124283031976
100,200,14,288.085,679.737,2.3595015360049985
72,56,14,25.9374,23.7552,0.9158666635823174
99,200,14,252.759,541.34,2.1417239346571244
344,48,28,91.2489,175.068,1.9185765527036491
345,56,28,101.758,135.844,1.3349712061950902
346,56,28,104.292,170.115,1.6311414106547004
347,56,28,105.56,172.762,1.6366237211064798
348,56,28,106.148,174.305,1.6420940573538834
352,72,28,133.043,154.266,1.1595198544831369
350,72,28,128.335,141.458,1.1022558148595472
351,72,28,131.527,151.929,1.1551164399705005
353,72,28,133.844,157.077,1.1735826783419503
343,48,28,91.0722,172.797,1.8973627517508087
349,56,28,106.272,175.911,1.6552901987353206
342,48,28,90.5757,168.074,1.8556191119693253
331,24,28,44.9573,168.614,3.7505366203041555
340,48,28,87.3758,153.438,1.7560697584457023
339,40,28,76.0675,214.774,2.82346600059158
338,40,28,75.8115,213.571,2.817131965466981
337,40,28,75.389,211.132,2.800567722081471
336,40,28,74.3914,206.861,2.7807112112421595
335,40,28,72.8128,197.641,2.714371648940846
334,24,28,45.9657,191.013,4.155555120448509
333,24,28,45.8313,185.634,4.050376053046717
332,24,28,45.5093,175.573,3.857958702946431
330,24,28,43.9706,173.192,3.938813661855877
354,72,28,134.037,158.355,1.1814275162828174
341,48,28,89.4622,159.068,1.7780470410966869
355,152,28,250.354,674.462,2.6940332489195296
161,368,28,540.512,1116.82,2.066226096737908
357,152,28,258.243,723.866,2.803042096010347
130,56,28,101.796,136.064,1.3366340524185625
131,56,28,104.276,169.9,1.6293298553837894
132,72,28,78.6891,92.8131,1.1794911874706917
133,72,28,98.4406,144.586,1.468763904324029
134,72,28,113.572,151.015,1.3296851336597046
135,72,28,122.992,125.094,1.017090542474307
136,72,28,128.458,141.471,1.1013015927384826
137,72,28,131.53,151.931,1.1551052991712918
138,152,28,157.267,288.664,1.8355026801554044
140,152,28,222.678,543.494,2.4407170892499486
141,152,28,240.58,626.018,2.6021198769640037
142,152,28,250.364,676.676,2.7027687686728123
143,152,28,255.491,709.952,2.7787749862030364
144,184,28,190.234,349.392,1.836643291945709
145,184,28,235.268,515.436,2.190846183926416
146,184,28,268.476,653.13,2.4327314173333927
147,184,28,289.29,750.744,2.5951259981333608
129,56,28,97.3586,123.459,1.2680852025398888
128,56,28,89.8879,145.406,1.6176370790729342
127,56,28,77.7278,133.603,1.7188573457630347
126,56,28,62.0866,88.4948,1.4253445993177272
108,24,28,26.8575,42.4842,1.5818374755654845
109,24,28,33.5864,75.634,2.2519233975656814
110,24,28,38.685,122.085,3.155874369910818
111,24,28,42.0276,149.486,3.5568531155716716
112,24,28,43.9855,174.872,3.975673801593707
113,24,28,44.9643,168.148,3.739588962799376
114,40,28,44.7004,80.5025,1.8009346672512996
115,40,28,55.5722,117.501,2.1143845303946938
148,184,28,301.277,811.648,2.694025763665995
116,40,28,64.2563,152.522,2.373650521427471
118,40,28,72.8628,198.624,2.726000098815857
119,40,28,74.4132,206.421,2.7739836480624405
120,48,28,53.335,74.1568,1.3903965501078093
121,48,28,66.7087,118.856,1.7817166276662566
122,48,28,77.1989,136.967,1.7742092180069926
123,48,28,83.7937,161.71,1.9298586886603648
124,48,28,87.4318,152.96,1.7494778787580723
125,48,28,89.4751,159.283,1.7801935957601611
117,40,28,69.7534,182.092,2.6105107421286995
356,152,28,255.464,708.634,2.7739094353803275
149,184,28,307.31,852.668,2.774618463440825
151,200,28,253.064,553.233,2.186138684285398
358,152,28,259.366,732.537,2.824337037236955
359,152,28,260.216,737.104,2.8326620961047744
150,200,28,203.985,387.62,1.9002377625805817
160,368,28,536.389,1115.07,2.078845763056289
159,368,28,518.782,1054.14,2.031951763939381
158,368,28,482.055,944.267,1.9588366472705399
139,152,28,194.946,426.516,2.1878674094364596
156,368,28,345.786,593.01,1.714962433412573
155,200,28,329.831,882.995,2.6771134308176006
152,200,28,287.962,686.218,2.383015814586647
153,200,28,310.859,779.323,2.5069983497341237
154,200,28,323.34,848.37,2.6237706439042494
157,368,28,425.838,786.822,1.8477026474856635
370,48,56,90.5693,167.861,1.85339844737676
369,40,56,76.2195,215.709,2.8301025328164053
368,40,56,76.1343,215.411,2.8293554941727974
367,40,56,76.0657,214.827,2.824229580481084
364,24,56,46.0817,194.828,4.227882217886927
365,40,56,75.3882,211.358,2.8035952576132606
363,24,56,45.9775,193.594,4.210624762111903
362,24,56,45.9651,190.958,4.154412804497325
361,24,56,45.8285,185.49,4.0474813707627355
360,24,56,45.5089,175.778,3.8624972258173678
366,40,56,75.811,213.678,2.8185619501127803
371,48,56,91.0715,172.761,1.8969820415827123
373,48,56,91.4676,176.23,1.926693167853972
374,48,56,91.5513,176.762,1.9307426546646524
375,56,56,105.562,172.751,1.636488509122601
376,56,56,106.149,174.296,1.6419938011662851
378,56,56,106.526,176.982,1.6613972175806846
379,56,56,106.617,176.853,1.6587692394271083
380,72,56,133.04,154.194,1.1590048105832833
381,72,56,133.843,157.066,1.1735092608503994
382,72,56,134.04,158.346,1.1813339301700985
383,72,56,134.367,159.177,1.1846435508718658
384,72,56,134.477,159.339,1.184879198673379
385,152,56,258.189,725.042,2.8081831526517393
386,152,56,259.338,733.273,2.827479968226793
387,152,56,260.22,737.405,2.8337752670816996
372,48,56,91.248,175.057,1.9184749254778184
377,56,56,106.272,175.94,1.6555630834086117
194,152,56,250.084,678.352,2.712496601142016
214,368,56,540.175,1106.7,2.048780487804878
189,72,56,131.562,151.824,1.1540110366215168
190,72,56,133.054,154.222,1.159093300464473
191,72,56,133.843,157.135,1.1740247902393102
192,152,56,222.735,537.84,2.414708061148899
193,152,56,240.114,621.104,2.5867046486252363
388,152,56,260.629,739.721,2.83821447344693
195,152,56,255.432,707.939,2.7715360643928717
196,152,56,258.224,724.317,2.804994888159118
197,152,56,259.365,732.953,2.8259518439265126
198,184,56,268.367,655.014,2.440739733275701
199,184,56,288.819,752.733,2.6062447415163126
200,184,56,301.034,812.513,2.699073858766784
201,184,56,307.189,851.657,2.772420236401694
202,184,56,310.466,869.85,2.801756069907816
203,184,56,312.067,874.962,2.803763294420749
204,200,56,287.791,680.429,2.364316465768561
205,200,56,310.786,785.221,2.526564903180967
206,200,56,323.26,845.266,2.614817793726412
207,200,56,329.887,884.201,2.68031477445307
208,200,56,333.113,901.073,2.7050070096333676
209,200,56,335.257,901.523,2.689050489624378
210,368,56,483.785,943.499,1.950244426759821
211,368,56,518.795,1056.86,2.037143765841999
188,72,56,128.396,141.705,1.1036558771301288
212,368,56,534.966,1104.4,2.064430262857827
187,72,56,123.023,124.681,1.0134771546783934
185,56,56,106.159,174.275,1.6416413116174795
162,24,56,38.7117,124.786,3.223469907030691
163,24,56,41.9999,151.55,3.608341924623631
164,24,56,43.9753,173.729,3.950604089113662
165,24,56,44.9615,168.743,3.7530553918352365
166,24,56,45.5089,175.553,3.8575531379576304
167,24,56,45.8338,185.695,4.051486021233239
168,40,56,64.1716,154.855,2.4131391456656837
169,40,56,69.7016,182.888,2.6238709010983965
170,40,56,72.8067,197.448,2.711948213557269
171,40,56,74.412,206.754,2.7785034671827122
172,40,56,75.3953,211.009,2.7987023063771876
173,40,56,75.8151,213.551,2.8167343972374894
174,48,56,77.0048,136.969,1.7787073013630317
175,48,56,83.6962,161.685,1.9318081346584433
176,48,56,87.3735,153.118,1.7524535471281337
177,48,56,89.49,159.307,1.7801653816068834
178,48,56,90.5806,167.943,1.8540725055917051
179,48,56,91.0714,172.715,1.8964790263463613
180,56,56,89.8243,144.18,1.6051335774395126
181,56,56,97.4063,124.041,1.273439192331502
182,56,56,101.74,135.83,1.3350697857283274
183,56,56,104.288,170.048,1.6305615219392453
184,56,56,105.573,172.73,1.6361190834777832
186,72,56,113.479,152.199,1.3412085055384697
213,368,56,538.317,1107.28,2.056929281445691
389,152,56,260.667,740.558,2.841011712261238
215,368,56,540.801,1102.95,2.0394747790777012
244,72,112,134.038,158.39,1.18167982213999
245,72,112,134.367,159.175,1.1846286662647825
246,152,112,250.298,678.685,2.711507882603936
247,152,112,255.396,708.186,2.7728938589484566
248,152,112,258.178,724.995,2.808120753898473
249,152,112,259.323,733.403,2.8281448232513124
250,152,112,260.184,737.583,2.8348514897149704
