The number of inputs is very large. NvFuserScheduler_TIMM_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_TIMM_BatchNorm_nhwc_fp16 will be repeated at least 270 times.
The number of inputs is very large. NvFuserScheduler_TIMM_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_TIMM_BatchNorm_nhwc_fp16 will be repeated at least 120 times.
The number of inputs is very large. NvFuserScheduler_TIMM_BatchNorm_nhwc_BWD_fp16___GRAPH/NvFuserScheduler_TIMM_BatchNorm_nhwc_BWD_fp16 will be repeated at least 270 times.
The number of inputs is very large. NvFuserScheduler_TIMM_BatchNorm_nhwc_BWD_fp16___GRAPH/NvFuserScheduler_TIMM_BatchNorm_nhwc_BWD_fp16 will be repeated at least 120 times.
The number of inputs is very large. NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16 will be repeated at least 270 times.
The number of inputs is very large. NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16 will be repeated at least 120 times.
The number of inputs is very large. Baseline_TIMM_LayerNorm_fp16 will be repeated at least 270 times.
The number of inputs is very large. Baseline_TIMM_LayerNorm_fp16 will be repeated at least 120 times.
2023-01-06T16:54:03+00:00
Running ./bin/nvfuser_bench
Run on (64 X 3500 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 16384 KiB (x8)
Load Average: 0.10, 0.49, 0.50
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------------------------------
Benchmark                                                     Time             CPU   Iterations UserCounters...
Baseline_TIMM_LayerNorm_fp16/16/184/7/manual_time          12.3 us         89.4 us        11412 bytes_per_second=43.8263G/s
Baseline_TIMM_LayerNorm_fp16/32/184/7/manual_time          15.0 us         91.9 us         9306 bytes_per_second=71.6576G/s
Baseline_TIMM_LayerNorm_fp16/64/184/7/manual_time          18.4 us         95.2 us         7595 bytes_per_second=116.691G/s
Baseline_TIMM_LayerNorm_fp16/128/184/7/manual_time         25.6 us          102 us         5465 bytes_per_second=167.818G/s
Baseline_TIMM_LayerNorm_fp16/256/184/7/manual_time         40.5 us          117 us         3465 bytes_per_second=212.514G/s
Baseline_TIMM_LayerNorm_fp16/8/200/7/manual_time           11.8 us         89.0 us        11865 bytes_per_second=24.7985G/s
Baseline_TIMM_LayerNorm_fp16/16/200/7/manual_time          12.3 us         89.4 us        11385 bytes_per_second=47.5673G/s
Baseline_TIMM_LayerNorm_fp16/32/200/7/manual_time          15.2 us         92.2 us         9207 bytes_per_second=77.1432G/s
Baseline_TIMM_LayerNorm_fp16/64/200/7/manual_time          18.6 us         95.4 us         7542 bytes_per_second=125.663G/s
Baseline_TIMM_LayerNorm_fp16/128/200/7/manual_time         25.9 us          103 us         5412 bytes_per_second=180.779G/s
Baseline_TIMM_LayerNorm_fp16/256/200/7/manual_time         41.0 us          117 us         3418 bytes_per_second=228.247G/s
Baseline_TIMM_LayerNorm_fp16/8/368/7/manual_time           12.2 us         89.4 us        11496 bytes_per_second=44.3272G/s
Baseline_TIMM_LayerNorm_fp16/16/368/7/manual_time          12.6 us         89.8 us        11018 bytes_per_second=85.0746G/s
Baseline_TIMM_LayerNorm_fp16/32/368/7/manual_time          15.8 us         92.7 us         8862 bytes_per_second=136.14G/s
Baseline_TIMM_LayerNorm_fp16/64/368/7/manual_time          19.6 us         96.4 us         7171 bytes_per_second=219.304G/s
Baseline_TIMM_LayerNorm_fp16/128/368/7/manual_time         27.8 us          104 us         5045 bytes_per_second=309.658G/s
Baseline_TIMM_LayerNorm_fp16/256/368/7/manual_time         44.5 us          121 us         3149 bytes_per_second=386.309G/s
Baseline_TIMM_LayerNorm_fp16/8/24/14/manual_time           14.5 us         91.6 us         9682 bytes_per_second=9.68594G/s
Baseline_TIMM_LayerNorm_fp16/16/24/14/manual_time          17.4 us         94.5 us         8055 bytes_per_second=16.1121G/s
Baseline_TIMM_LayerNorm_fp16/32/24/14/manual_time          23.6 us          100 us         5948 bytes_per_second=23.7969G/s
Baseline_TIMM_LayerNorm_fp16/64/24/14/manual_time          37.0 us          114 us         3787 bytes_per_second=30.322G/s
Baseline_TIMM_LayerNorm_fp16/128/24/14/manual_time         63.4 us          140 us         2205 bytes_per_second=35.3569G/s
Baseline_TIMM_LayerNorm_fp16/256/24/14/manual_time          116 us          192 us         1209 bytes_per_second=38.7237G/s
Baseline_TIMM_LayerNorm_fp16/8/40/14/manual_time           14.6 us         91.6 us         9578 bytes_per_second=16.0647G/s
Baseline_TIMM_LayerNorm_fp16/16/40/14/manual_time          17.6 us         94.6 us         7960 bytes_per_second=26.5057G/s
Baseline_TIMM_LayerNorm_fp16/32/40/14/manual_time          23.7 us          101 us         5929 bytes_per_second=39.5143G/s
Baseline_TIMM_LayerNorm_fp16/64/40/14/manual_time          37.1 us          114 us         3757 bytes_per_second=50.3372G/s
Baseline_TIMM_LayerNorm_fp16/128/40/14/manual_time         63.6 us          140 us         2205 bytes_per_second=58.7806G/s
Baseline_TIMM_LayerNorm_fp16/256/40/14/manual_time          116 us          193 us         1204 bytes_per_second=64.2326G/s
Baseline_TIMM_LayerNorm_fp16/8/48/14/manual_time           14.6 us         91.7 us         9603 bytes_per_second=19.265G/s
Baseline_TIMM_LayerNorm_fp16/16/48/14/manual_time          17.6 us         94.6 us         7986 bytes_per_second=31.9053G/s
Baseline_TIMM_LayerNorm_fp16/32/48/14/manual_time          23.8 us          101 us         5890 bytes_per_second=47.1938G/s
Baseline_TIMM_LayerNorm_fp16/64/48/14/manual_time          37.3 us          114 us         3758 bytes_per_second=60.1769G/s
Baseline_TIMM_LayerNorm_fp16/128/48/14/manual_time         63.7 us          140 us         2199 bytes_per_second=70.4822G/s
Baseline_TIMM_LayerNorm_fp16/256/48/14/manual_time          116 us          192 us         1206 bytes_per_second=77.267G/s
Baseline_TIMM_LayerNorm_fp16/8/56/14/manual_time           14.6 us         91.7 us         9663 bytes_per_second=22.4304G/s
Baseline_TIMM_LayerNorm_fp16/16/56/14/manual_time          17.6 us         94.6 us         7952 bytes_per_second=37.1821G/s
